date,home,away,home_score,away_score
2026-08-20,Cincinnati Princeton (OH),Cincinnati Moeller (OH),31,24
2026-08-20,Columbus Harvest Prep (OH),Versailles (OH),18,21
2026-08-20,Montpelier (OH),Antwerp (OH),21,14
2026-08-20,Toledo Scott (OH),Toledo St John's Jesuit (OH),8,44
2026-08-21,Bremen (IN),Churubusco (IN),49,14
2026-08-21,Clyde (OH),Bellevue (OH),0,42
2026-08-21,Columbus St Francis de Sales (OH),Youngstown Ursuline (OH),31,7
2026-08-21,Edon (OH),Edgerton (OH),40,7
2026-08-21,Elgin St Edward (IL),Melrose Park Walther Christian (IL),36,6
2026-08-21,Elkhart Jimtown (IN),Syracuse Wawasee (IN),41,21
2026-08-21,Marinette (WI),Two Rivers (WI),34,22
2026-08-21,New Lisbon (WI),Neillsville (WI),0,35
2026-08-21,Pioneer North Central (OH),Swanton (OH),12,13
2026-08-21,Portage (IN),Hammond Morton (IN),7,34
2026-08-21,Toledo Central Catholic (OH),Trotwood-Madison (OH),27,7
2026-08-21,Toledo St Francis De Sales (OH),Toledo MR Waite (OH),46,21
2026-08-21,Toledo Whitmer (OH),Reynoldsburg (OH),42,23
2026-08-21,Woodburn Woodlan (IN),LaGrange Prairie Heights (IN),21,0
2026-08-22,Chicago Kenwood Academy (IL),Palatine (IL),18,20
2026-08-27,Clinton Township Chippewa Valley,Detroit Catholic Central,0,55
2026-08-27,Grand Rapids Kenowa Hills,DeWitt,21,59
2026-08-27,New Baltimore Anchor Bay,Port Huron,21,28
2026-08-27,Ada Forest Hills Eastern,Grand Rapids Forest Hills Northern,28,21
2026-08-27,Addison,Perry,12,42
2026-08-27,Algonac,Clinton Township Clintondale,20,12
2026-08-27,Allegan,Coloma,17,44
2026-08-27,Allen Park Cabrini,Saginaw Nouvel Catholic Central,21,25
2026-08-27,Bath,Otisville LakeVille Memorial,10,55
2026-08-27,Battle Creek Lakeview,Battle Creek Harper Creek,0,38
2026-08-27,Bay City Central,Flint Carman-Ainsworth,26,44
2026-08-27,Bloomfield Hills,Harrison Township L'Anse Creuse,42,0
2026-08-27,Bloomfield Hills Cranbrook Kingswood,Detroit Mumford,25,22
